alg,pacgums,score,time,win
Rand_Dir_Charge,129,1370.0,64.76244187355042,False
Rand_Dir_Legal_Hold,79,1030.0,47.96631193161011,False
Rand_Turn,41,410.0,46.68358850479126,False
Rand_Turn_Legal,63,630.0,50.87463808059693,False
BFS_Gum,244,3200.0,66.82916975021362,True
BFS_Rand,79,1030.0,35.651089906692505,False
BFS_Agress,107,1550.0,38.35310935974121,False
A_Star_Agress,82,3900.0,40.62586832046509,False
A_Star_Rand,78,1020.0,45.435503005981445,False
Dijkstra_Rand,45,450.0,48.92790389060974,False
BFS_Mod,242,2580.0,608.2169346809387,False
Rand_Dir,70,740.0,81.50908541679382,False
Rand_Dir_Legal,35,350.0,54.36405920982361,False
Rand_Dir_Hold,124,1320.0,69.58168268203735,False
Rand_Dir_Charge,200,4360.0,82.69561672210693,False
Rand_Dir_Legal_Hold,139,1430.0,64.62561082839966,False
Rand_Turn,41,410.0,53.25862145423889,False
Rand_Turn_Legal,28,280.0,46.18303442001343,False
BFS_Gum,183,1910.0,50.25035810470581,False
BFS_Rand,91,910.0,50.88774251937866,False
BFS_Agress,125,3010.0,56.31065964698792,False
A_Star_Agress,107,1990.0,46.35031604766846,False
A_Star_Rand,71,950.0,37.571382999420166,False
Dijkstra_Rand,46,460.0,41.67946267127991,False
BFS_Mod,181,1890.0,766.5822696685791,False
Rand_Dir,32,320.0,43.16250419616699,False
Rand_Dir_Legal,56,600.0,56.45832109451294,False
Rand_Dir_Hold,65,1290.0,36.95971989631653,False
Rand_Dir_Charge,122,1300.0,53.11298322677612,False
Rand_Dir_Legal_Hold,112,1160.0,45.63815045356751,False
Rand_Turn,50,540.0,58.388850688934326,False
Rand_Turn_Legal,28,280.0,41.169883012771606,False
BFS_Gum,168,2160.0,61.01978802680969,False
BFS_Rand,53,530.0,42.10232281684876,False
BFS_Agress,149,3650.0,57.54640984535217,False
A_Star_Agress,86,3980.0,39.77539372444153,False
A_Star_Rand,91,910.0,38.36737608909607,False
Dijkstra_Rand,44,440.0,40.29180192947388,False
BFS_Mod,233,2690.0,580.7869379520416,False
Rand_Dir,31,310.0,50.193952560424805,False
Rand_Dir_Legal,40,400.0,51.70170021057129,False
Rand_Dir_Hold,159,1870.0,75.21611738204956,False
Rand_Dir_Charge,133,1330.0,61.56676006317139,False
Rand_Dir_Legal_Hold,94,1180.0,63.37223720550537,False
Rand_Turn,48,480.0,46.47334337234497,False
Rand_Turn_Legal,45,450.0,47.7268807888031,False
BFS_Gum,244,3500.0,63.42052102088928,True
BFS_Rand,113,1870.0,63.3676221370697,False
BFS_Agress,126,1980.0,45.05126738548279,False
A_Star_Agress,84,2120.0,39.65032196044922,False
A_Star_Rand,70,940.0,50.33240032196045,False
Dijkstra_Rand,66,900.0,58.58320760726929,False
BFS_Mod,225,2610.0,580.7042014598846,False
Rand_Dir,33,330.0,57.51453948020935,False
Rand_Dir_Legal,48,520.0,51.13609457015991,False
Rand_Dir_Hold,91,950.0,50.024192094802856,False
Rand_Dir_Charge,103,1070.0,38.89742970466614,False
Rand_Dir_Legal_Hold,72,760.0,52.55492758750916,False
Rand_Turn,62,620.0,48.75471711158752,False
Rand_Turn_Legal,80,840.0,53.9103729724884,False
BFS_Gum,236,2680.0,74.1141049861908,False
BFS_Rand,76,800.0,50.93974590301514,False
BFS_Agress,119,1710.0,49.85567140579224,False
A_Star_Agress,120,4520.0,45.837448835372925,False
A_Star_Rand,152,1600.0,65.87010025978088,False
Dijkstra_Rand,39,630.0,41.70390439033508,False
BFS_Mod,227,4030.0,573.9970650672913,False
Rand_Dir,50,740.0,55.90773892402649,False
Rand_Dir_Legal,42,460.0,58.99156427383423,False
Rand_Dir_Hold,128,1360.0,64.71794056892395,False
Rand_Dir_Charge,107,1150.0,52.76324725151062,False
Rand_Dir_Legal_Hold,148,1760.0,76.57807683944702,False
Rand_Turn,48,520.0,53.415422201156616,False
Rand_Turn_Legal,24,240.0,46.62344980239868,False
BFS_Gum,244,2800.0,67.10558795928955,True
BFS_Rand,102,2300.0,52.61247110366821,False
BFS_Agress,139,4950.0,76.77940559387207,False
A_Star_Agress,85,1970.0,47.923471212387085,False
A_Star_Rand,112,1120.0,55.16343808174133,False
Dijkstra_Rand,81,850.0,52.3376350402832,False
BFS_Mod,244,4000.0,730.7341499328613,True
Rand_Dir,52,520.0,55.37371516227722,False
Rand_Dir_Legal,24,240.0,44.002832889556885,False
Rand_Dir_Hold,52,520.0,35.553985834121704,False
Rand_Dir_Charge,71,750.0,37.2727952003479,False
Rand_Dir_Legal_Hold,105,1090.0,50.9128897190094,False
Rand_Turn,50,500.0,47.42788362503052,False
Rand_Turn_Legal,50,500.0,47.605796575546265,False
BFS_Gum,204,2160.0,56.599644899368286,False
BFS_Rand,63,630.0,38.62471127510071,False
BFS_Agress,93,4250.0,44.54829406738281,False
A_Star_Agress,156,30120.0,93.19797039031982,False
A_Star_Rand,111,1750.0,50.24308347702026,False
Dijkstra_Rand,41,410.0,52.81187582015991,False
BFS_Mod,234,2900.0,584.0419993400574,False
Rand_Dir,40,400.0,47.775296449661255,False
Rand_Dir_Legal,45,450.0,53.85728454589844,False
Rand_Dir_Hold,55,790.0,44.19777178764343,False
Rand_Dir_Charge,211,2230.0,111.70522451400755,False
Rand_Dir_Legal_Hold,116,1240.0,50.618741273880005,False
Rand_Turn,29,290.0,45.99333882331848,False
Rand_Turn_Legal,55,590.0,59.801889419555664,False
BFS_Gum,232,2440.0,77.40848922729492,False
BFS_Rand,83,830.0,35.66710686683655,False
A_Star_Agress,89,2610.0,44.04324507713318,False
A_Star_Rand,104,1320.0,41.67007112503052,False
Dijkstra_Rand,67,910.0,55.00169897079468,False
BFS_Mod,241,2570.0,610.346423625946,False
Rand_Dir,29,290.0,46.82615828514099,False
Rand_Dir_Legal,28,280.0,45.44102120399475,False
Rand_Dir_Hold,139,1670.0,71.00316071510315,False
Rand_Dir_Charge,159,1670.0,56.99151515960693,False
Rand_Dir_Legal_Hold,30,300.0,28.762156009674072,False
Rand_Turn,48,480.0,42.79034686088562,False
Rand_Turn_Legal,57,1210.0,54.41808199882507,False
BFS_Gum,143,1510.0,52.020938873291016,False
BFS_Rand,78,780.0,36.66240477561951,False
BFS_Agress,79,1170.0,39.68159508705139,False
A_Star_Agress,126,5220.0,70.00493669509888,False
A_Star_Rand,14,140.0,26.308046102523804,False
Dijkstra_Rand,45,450.0,49.893070459365845,False
BFS_Mod,244,3400.0,589.0133955478668,True
Rand_Dir,68,720.0,129.0143756866455,False
Rand_Dir_Legal,45,450.0,38.9990017414093,False
Rand_Dir_Hold,68,680.0,33.349855184555054,False
Rand_Dir_Charge,115,1190.0,47.922871589660645,False
Rand_Dir_Legal_Hold,96,1200.0,50.994706869125366,False
Rand_Turn,34,340.0,41.15648078918457,False
Rand_Turn_Legal,86,900.0,60.07235765457153,False
BFS_Gum,112,1160.0,44.96807885169983,False
BFS_Rand,52,520.0,34.30153608322144,False
BFS_Agress,132,2580.0,71.16200685501099,False
A_Star_Agress,137,8130.0,59.68480920791626,False
A_Star_Rand,81,810.0,44.10259246826172,False
Dijkstra_Rand,63,670.0,65.02077507972717,False
BFS_Mod,244,3200.0,583.6170969009399,True
Rand_Dir,42,420.0,49.42731475830078,False
Rand_Dir_Legal,31,310.0,50.45221018791199,False
Rand_Dir_Hold,120,1240.0,55.38111758232117,False
Rand_Dir_Charge,31,310.0,33.288838148117065,False
Rand_Dir_Legal_Hold,51,510.0,58.55173444747925,False
Rand_Turn,49,490.0,52.90294003486633,False
Rand_Turn_Legal,53,530.0,52.80684781074524,False
BFS_Gum,170,1780.0,50.62730050086975,False
BFS_Rand,130,1340.0,65.89279961585999,False
BFS_Agress,115,1470.0,47.88480472564697,False
